,name,id,shortName,path,displayName,featureType,coordinates
1787,lu Milenge District Hospital,azRTyW1gF42,Milenge Dis Hosp,/Ot1P2HjvtvL/B1u1bVtIA92/bW1rTUYvPMz/azRTyW1gF42,lu Milenge District Hospital,NONE,
1788,lu Milenge East 7 Rural Health Centre,NDa0Qcl6A36,Milenge East 7 RHC,/Ot1P2HjvtvL/B1u1bVtIA92/bW1rTUYvPMz/NDa0Qcl6A36,lu Milenge East 7 Rural Health Centre,NONE,
1789,lu Milulu Health Post,lqop2r0UrW4,Milulu HP,/Ot1P2HjvtvL/B1u1bVtIA92/bW1rTUYvPMz/lqop2r0UrW4,lu Milulu Health Post,NONE,
1790,lu Mimbulu Health Post,DUOUmsjKjPy,Mimbulu HP,/Ot1P2HjvtvL/B1u1bVtIA92/jCJxK8sFH40/DUOUmsjKjPy,lu Mimbulu Health Post,NONE,
1791,lu Miponda Rural Health Centre,fFaDMvpDDSG,Miponda RHC,/Ot1P2HjvtvL/B1u1bVtIA92/idR0pJWLqcR/fFaDMvpDDSG,lu Miponda Rural Health Centre,POINT,"[29.5418,-10.9379]"
1792,lu Moffat Health Post,iNnpKcEzZwX,Moffat HP,/Ot1P2HjvtvL/B1u1bVtIA92/bW1rTUYvPMz/iNnpKcEzZwX,lu Moffat Health Post,NONE,
1793,lu Moloshi Rural Health Centre,iaQTS9o4wml,Moloshi RHC,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/iaQTS9o4wml,lu Moloshi Rural Health Centre,POINT,"[29.4551,-11.2045]"
1794,lu Moonga Health Post,XrxzqJTE8ZG,lu Moonga HP,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/XrxzqJTE8ZG,lu Moonga Health Post,NONE,
1795,lu Mpanta Rural Health Centre,EsersiN3Ebr,Mpanta RHC,/Ot1P2HjvtvL/B1u1bVtIA92/ibwukc3IOtw/EsersiN3Ebr,lu Mpanta Rural Health Centre,NONE,
1796,lu Mubende Rural Health Centre,YxHARnHER97,Mubende RHC,/Ot1P2HjvtvL/B1u1bVtIA92/na58mHU96zc/YxHARnHER97,lu Mubende Rural Health Centre,POINT,"[28.7674,-10.2836]"
1797,lu Mufuma Health Post,oiWBmL1CPR2,Mufuma HP,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/oiWBmL1CPR2,lu Mufuma Health Post,NONE,
1798,lu Mufwaya Rural Health Centre,HbbUF3TGezI,Mufwaya RHC,/Ot1P2HjvtvL/B1u1bVtIA92/bjCC79pZC5f/HbbUF3TGezI,lu Mufwaya Rural Health Centre,POINT,"[29.0839,-9.718]"
1799,lu Mukabi Health Post,Z2NGkmiOKz0,Mukabi HP,/Ot1P2HjvtvL/B1u1bVtIA92/jCJxK8sFH40/Z2NGkmiOKz0,lu Mukabi Health Post,NONE,
1800,lu Mukamba Rural Health Centre,kz6HFCbT0nE,Mukamba RHC,/Ot1P2HjvtvL/B1u1bVtIA92/cLYG2oIinWU/kz6HFCbT0nE,lu Mukamba Rural Health Centre,NONE,
1801,lu Mukanga Health Post,DGTbYecueeB,Mukanga HP,/Ot1P2HjvtvL/B1u1bVtIA92/jCJxK8sFH40/DGTbYecueeB,lu Mukanga Health Post,NONE,
1802,lu Mukonshi Rural Health Centre,y5g5UOIekbe,Mukonshi RHC,/Ot1P2HjvtvL/B1u1bVtIA92/jCJxK8sFH40/y5g5UOIekbe,lu Mukonshi Rural Health Centre,POINT,"[29.1509,-10.1334]"
1803,lu Mukunta Rural Health Centre,tr9eo7P3f5L,Mukunta RHC,/Ot1P2HjvtvL/B1u1bVtIA92/Oapn6R4rt3D/tr9eo7P3f5L,lu Mukunta Rural Health Centre,POINT,"[29.0834,-8.885]"
1804,lu Mulonga Health Post,CdxhAEBJV85,Mulonga HP,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/CdxhAEBJV85,lu Mulonga Health Post,NONE,
1805,lu Mulumbi Rural Health Centre,fUuJIm7FTxp,Mulumbi RHC,/Ot1P2HjvtvL/B1u1bVtIA92/bW1rTUYvPMz/fUuJIm7FTxp,lu Mulumbi Rural Health Centre,POINT,"[29.1577,-11.5538]"
1806,lu Mulunda Health Post,krc82I1RBcF,Mulunda HP,/Ot1P2HjvtvL/B1u1bVtIA92/jCJxK8sFH40/krc82I1RBcF,lu Mulunda Health Post,NONE,
1807,lu Mulungushi Health Post,FtVAnzSJgko,Mulungushi HP,/Ot1P2HjvtvL/B1u1bVtIA92/bW1rTUYvPMz/FtVAnzSJgko,lu Mulungushi Health Post,NONE,
1808,lu Mulwe Health Post,GfGcR7YaPeL,Mulwe HP,/Ot1P2HjvtvL/B1u1bVtIA92/o0jgNBf8WkJ/GfGcR7YaPeL,lu Mulwe Health Post,NONE,
1809,lu Mumanse Health Post,fnnmZeYMseB,Mumanse HP,/Ot1P2HjvtvL/B1u1bVtIA92/bW1rTUYvPMz/fnnmZeYMseB,lu Mumanse Health Post,NONE,
1810,lu Mundubi Rural Health Centre,W2IXIkG5zFH,Mundubi RHC,/Ot1P2HjvtvL/B1u1bVtIA92/idR0pJWLqcR/W2IXIkG5zFH,lu Mundubi Rural Health Centre,POINT,"[29.5711,-11.1718]"
1811,lu Mungulube Rural Health Centre,Whdcw1ZAqdr,Mungulube RHC,/Ot1P2HjvtvL/B1u1bVtIA92/ibwukc3IOtw/Whdcw1ZAqdr,lu Mungulube Rural Health Centre,POINT,"[29.4422,-11.6054]"
1812,lu Munkanta Rural Health Centre,LWQSvyr1euq,Munkanta RHC,/Ot1P2HjvtvL/B1u1bVtIA92/bjCC79pZC5f/LWQSvyr1euq,lu Munkanta Rural Health Centre,POINT,"[29.0505,-9.7928]"
1813,lu Mununshi Rural Health Centre,NhezyPMNpLr,Mununshi RHC,/Ot1P2HjvtvL/B1u1bVtIA92/na58mHU96zc/NhezyPMNpLr,lu Mununshi Rural Health Centre,POINT,"[28.69,-10.0099]"
1814,lu Mupeta Rural Health Centre,EIcZNbwIUP7,Mupeta RHC,/Ot1P2HjvtvL/B1u1bVtIA92/jCJxK8sFH40/EIcZNbwIUP7,lu Mupeta Rural Health Centre,POINT,"[29.0094,-10.4051]"
1815,lu Musaba Health Post,ekYTjO7ATMm,Musaba HP,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/ekYTjO7ATMm,lu Musaba Health Post,NONE,
1816,lu Musaika Health Post,IFlH7FfHYo6,lu Musaika HP,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/IFlH7FfHYo6,lu Musaika Health Post,NONE,
1817,lu Musaila Rural Health Centre,rr4a7WmEG8I,Musaila RHC,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/rr4a7WmEG8I,lu Musaila Rural Health Centre,NONE,
1818,lu Musalango Health Post,MLxowtKhnOt,Musalango HP,/Ot1P2HjvtvL/B1u1bVtIA92/jCJxK8sFH40/MLxowtKhnOt,lu Musalango Health Post,NONE,
1819,lu Musambeshi Health Post,WCqpSIqgf3c,lu Musambeshi HP,/Ot1P2HjvtvL/B1u1bVtIA92/bjCC79pZC5f/WCqpSIqgf3c,lu Musambeshi Health Post,NONE,
1820,lu Musangu Rural Health Centre,Et6E1EIFBln,Musangu RHC,/Ot1P2HjvtvL/B1u1bVtIA92/na58mHU96zc/Et6E1EIFBln,lu Musangu Rural Health Centre,POINT,"[28.6343,-10.2342]"
1821,lu Musele Health Post,ZOchRWrgsdN,lu Musele HP,/Ot1P2HjvtvL/B1u1bVtIA92/jCJxK8sFH40/ZOchRWrgsdN,lu Musele Health Post,NONE,
1822,lu Musesha Health Post,gw4j1ZQOYPU,Musesha HP,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/gw4j1ZQOYPU,lu Musesha Health Post,NONE,
1823,lu Mushili Rural Health Centre,T1qWi3CnvAv,Mushili RHC,/Ot1P2HjvtvL/B1u1bVtIA92/ibwukc3IOtw/T1qWi3CnvAv,lu Mushili Rural Health Centre,POINT,"[29.5514,-12.1403]"
1824,lu Mushota Zonal Rural Health Centre,xF7Avs2H4mk,Mushota RHC,/Ot1P2HjvtvL/B1u1bVtIA92/bjCC79pZC5f/xF7Avs2H4mk,lu Mushota Zonal Rural Health Centre,POINT,"[29.3876,-9.8093]"
1825,lu Musonda Rural Health Centre,ZrYvlcX3KnS,Musonda RHC,/Ot1P2HjvtvL/B1u1bVtIA92/na58mHU96zc/ZrYvlcX3KnS,lu Musonda Rural Health Centre,POINT,"[28.8049,-10.7068]"
1826,lu Musumali Health Post,AewBRfK9X8p,Musumali HP,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/AewBRfK9X8p,lu Musumali Health Post,NONE,
1827,lu Musungu Rural Health Centre,Mo2mBhp6Jmp,Musungu RHC,/Ot1P2HjvtvL/B1u1bVtIA92/bjCC79pZC5f/Mo2mBhp6Jmp,lu Musungu Rural Health Centre,POINT,"[29.7046,-10.1899]"
1828,lu Mutipula Rural Health Centre,JQxmMJop7dI,Mutipula RHC,/Ot1P2HjvtvL/B1u1bVtIA92/jCJxK8sFH40/JQxmMJop7dI,lu Mutipula Rural Health Centre,POINT,"[28.9834,-10.6002]"
1829,lu Mutiti Rural Health Centre,nRIYIYvQdS3,Mutiti RHC,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/nRIYIYvQdS3,lu Mutiti Rural Health Centre,POINT,"[28.951,-11.1066]"
1830,lu Mutwewankoko Rural Health Centre,hvHO2GxYSWr,Mutwewankoko RHC,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/hvHO2GxYSWr,lu Mutwewankoko Rural Health Centre,NONE,
1831,lu Muwanguni Rural Health Centre,Hie7YmcDJrS,Muwanguni RHC,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/Hie7YmcDJrS,lu Muwanguni Rural Health Centre,POINT,"[28.8682,-11.2842]"
1832,lu Muyembe Rural Health Centre,tTTqsdY5Ghh,Muyembe RHC,/Ot1P2HjvtvL/B1u1bVtIA92/bjCC79pZC5f/tTTqsdY5Ghh,lu Muyembe Rural Health Centre,POINT,"[29.117,-9.9886]"
1833,lu Mwabu Rural Health Centre,Bz7oIBxRTU1,Mwabu RHC,/Ot1P2HjvtvL/B1u1bVtIA92/Oapn6R4rt3D/Bz7oIBxRTU1,lu Mwabu Rural Health Centre,POINT,"[29.0855,-8.5684]"
1834,lu Mwansabombwe District,cLYG2oIinWU,lu Mwansabombwe District,/Ot1P2HjvtvL/B1u1bVtIA92/cLYG2oIinWU,lu Mwansabombwe District,NONE,
1835,lu Mwansakombe Rural Health Centre,ABcUyezNjiu,Mwansakombe RHC,/Ot1P2HjvtvL/B1u1bVtIA92/idR0pJWLqcR/ABcUyezNjiu,lu Mwansakombe Rural Health Centre,POINT,"[29.6568,-10.8865]"
1836,lu Mwela Health Post,emvofTIKa1P,Mwela HP,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/emvofTIKa1P,lu Mwela Health Post,NONE,
1837,lu Mwenda Rural Health Centre,U1cB77Ro8w0,Mwenda RHC,/Ot1P2HjvtvL/B1u1bVtIA92/jCJxK8sFH40/U1cB77Ro8w0,lu Mwenda Rural Health Centre,POINT,"[29.1763,-10.475]"
1838,lu Mwense District,na58mHU96zc,lu Mwense District,/Ot1P2HjvtvL/B1u1bVtIA92/na58mHU96zc,lu Mwense District,POLYGON,"[[[[28.9299,-10.1104],[28.8945,-10.208],[28.8669,-10.3539],[28.8549,-10.4414],[28.8521,-10.4714],[28.8511,-10.4823],[28.8461,-10.4905],[28.8451,-10.4975],[28.8457,-10.5106],[28.8473,-10.5252],[28.8499,-10.5438],[28.8511,-10.5584],[28.8539,-10.5677],[28.8553,-10.5769],[28.8593,-10.5846],[28.8625,-10.5906],[28.8673,-10.5982],[28.8695,-10.6064],[28.8679,-10.6161],[28.8663,-10.6292],[28.8713,-10.6407],[28.8713,-10.6515],[28.8691,-10.6629],[28.8653,-10.6706],[28.8575,-10.6782],[28.8505,-10.6858],[28.8473,-10.6917],[28.8445,-10.6989],[28.8423,-10.7115],[28.8383,-10.712],[28.8345,-10.711],[28.8289,-10.7116],[28.8243,-10.7132],[28.8209,-10.7143],[28.8171,-10.7148],[28.8133,-10.7143],[28.8095,-10.7141],[28.8071,-10.7121],[28.8015,-10.7074],[28.7989,-10.7058],[28.7847,-10.7015],[28.7811,-10.7038],[28.7789,-10.7066],[28.7795,-10.7608],[28.7793,-10.7638],[28.7787,-10.7677],[28.7773,-10.7723],[28.7759,-10.781],[28.7737,-10.7871],[28.7707,-10.7922],[28.7681,-10.7964],[28.7675,-10.8014],[28.7673,-10.8048],[28.7673,-10.8089],[28.7677,-10.8153],[28.7661,-10.829],[28.7643,-10.8341],[28.7617,-10.8393],[28.7601,-10.8426],[28.7581,-10.847],[28.7583,-10.8526],[28.7587,-10.8615],[28.7587,-10.8655],[28.7587,-10.8717],[28.7559,-10.8781],[28.7539,-10.8805],[28.7489,-10.8877],[28.7455,-10.8937],[28.7451,-10.8993],[28.7449,-10.9032],[28.7439,-10.9084],[28.7415,-10.9125],[28.7359,-10.9361],[28.7375,-10.9452],[28.7339,-10.9521],[28.7329,-10.9583],[28.7325,-10.9613],[28.7347,-10.9656],[28.7403,-10.9696],[28.7457,-10.9723],[28.7579,-10.9753],[28.7615,-10.9762],[28.7667,-10.9793],[28.7713,-10.9815],[28.7755,-10.9839],[28.7773,-10.9862],[28.7783,-10.9892],[28.7729,-10.9966],[28.7697,-10.9999],[28.7673,-11.0028],[28.7673,-11.0063],[28.7707,-11.0188],[28.7757,-11.0226],[28.7789,-11.0245],[28.7833,-11.0282],[28.7839,-11.0315],[28.7723,-11.047],[28.7695,-11.0494],[28.7657,-11.0505],[28.7585,-11.0508],[28.7525,-11.0505],[28.7447,-11.0475],[28.7391,-11.0451],[28.7369,-11.0401],[28.7341,-11.0321],[28.7319,-11.0263],[28.7297,-11.0213],[28.7267,-11.0165],[28.7233,-11.0136],[28.7181,-11.0116],[28.7075,-11.0135],[28.7017,-11.0135],[28.6943,-11.013],[28.6905,-11.0116],[28.6871,-11.0083],[28.6837,-11.0049],[28.6783,-11.0017],[28.6635,-10.9906],[28.6563,-10.9883],[28.6523,-10.9875],[28.6489,-10.9889],[28.6371,-10.9837],[28.6343,-10.9817],[28.6309,-10.9804],[28.6277,-10.9798],[28.6235,-10.979],[28.6187,-10.9768],[28.6147,-10.9753],[28.6113,-10.9735],[28.6077,-10.9718],[28.6033,-10.9712],[28.6001,-10.9698],[28.5961,-10.9671],[28.5891,-10.9582],[28.5857,-10.9533],[28.5813,-10.9494],[28.5767,-10.9452],[28.5725,-10.9433],[28.5657,-10.9389],[28.5613,-10.9383],[28.5575,-10.9372],[28.5527,-10.9359],[28.5487,-10.9322],[28.5485,-10.9251],[28.5495,-10.9106],[28.5479,-10.8966],[28.5469,-10.8865],[28.5465,-10.8778],[28.5461,-10.8708],[28.5469,-10.8636],[28.5499,-10.8539],[28.5551,-10.8459],[28.5581,-10.8387],[28.5609,-10.8313],[28.5665,-10.8263],[28.5737,-10.8213],[28.5781,-10.8178],[28.5801,-10.815],[28.5815,-10.8078],[28.5825,-10.7998],[28.5859,-10.7934],[28.5943,-10.7868],[28.6019,-10.7801],[28.6061,-10.7755],[28.6083,-10.7651],[28.6105,-10.7511],[28.6121,-10.7395],[28.6165,-10.732],[28.6223,-10.7271],[28.6307,-10.7245],[28.6383,-10.7232],[28.6445,-10.7226],[28.6515,-10.722],[28.6565,-10.7204],[28.6597,-10.7179],[28.6647,-10.7083],[28.6681,-10.6943],[28.6721,-10.6867],[28.6835,-10.6816],[28.6899,-10.6786],[28.6969,-10.6736],[28.6983,-10.6684],[28.6963,-10.6593],[28.6949,-10.6535],[28.6927,-10.6482],[28.6903,-10.644],[28.6885,-10.6411],[28.6857,-10.6388],[28.6827,-10.6371],[28.6785,-10.6352],[28.6719,-10.6335],[28.6641,-10.6319],[28.6599,-10.6294],[28.6599,-10.6255],[28.6611,-10.6181],[28.6629,-10.6087],[28.6653,-10.5971],[28.6681,-10.5888],[28.6711,-10.5815],[28.6731,-10.5774],[28.6753,-10.5724],[28.6755,-10.5663],[28.6719,-10.5592],[28.6643,-10.5537],[28.6611,-10.5508],[28.6583,-10.5462],[28.6533,-10.5415],[28.6439,-10.5356],[28.6365,-10.5318],[28.6313,-10.5287],[28.6303,-10.5238],[28.6357,-10.5169],[28.6403,-10.5082],[28.6395,-10.5025],[28.6379,-10.495],[28.6367,-10.4901],[28.6329,-10.4842],[28.6313,-10.4784],[28.6313,-10.4742],[28.6329,-10.4704],[28.6349,-10.4651],[28.6381,-10.4616],[28.6417,-10.4576],[28.6423,-10.4505],[28.6421,-10.4428],[28.6397,-10.4328],[28.6371,-10.4244],[28.6329,-10.4176],[28.6267,-10.4118],[28.6225,-10.4071],[28.6187,-10.4024],[28.6187,-10.3941],[28.6197,-10.388],[28.6189,-10.3775],[28.6163,-10.3678],[28.6187,-10.3578],[28.6243,-10.347],[28.6273,-10.3357],[28.6299,-10.3153],[28.6295,-10.3069],[28.6271,-10.3016],[28.6243,-10.2976],[28.6193,-10.295],[28.6143,-10.2928],[28.6083,-10.29],[28.6061,-10.287],[28.6045,-10.2828],[28.6047,-10.2798],[28.6021,-10.273],[28.5969,-10.2654],[28.5931,-10.2586],[28.5875,-10.2516],[28.5825,-10.2469],[28.5767,-10.2434],[28.5733,-10.2389],[28.5711,-10.2339],[28.5715,-10.2254],[28.5751,-10.2198],[28.5801,-10.211],[28.5851,-10.2033],[28.5913,-10.1958],[28.5963,-10.19],[28.6005,-10.1858],[28.6061,-10.1811],[28.6113,-10.1744],[28.6163,-10.1651],[28.6183,-10.1552],[28.6189,-10.1437],[28.6177,-10.1289],[28.6189,-10.1194],[28.6203,-10.109],[28.6241,-10.0865],[28.6241,-10.0826],[28.6343,-10.0752],[28.6445,-10.0624],[28.6475,-10.0597],[28.6509,-10.0567],[28.6553,-10.0547],[28.6597,-10.053],[28.6627,-10.0514],[28.6661,-10.0494],[28.6687,-10.0467],[28.6715,-10.0429],[28.6743,-10.0387],[28.6761,-10.0332],[28.6777,-10.0281],[28.6847,-10.021],[28.6877,-10.0212],[28.6915,-10.0229],[28.6949,-10.0265],[28.6971,-10.0315],[28.6985,-10.0362],[28.6997,-10.0395],[28.7017,-10.0434],[28.7051,-10.0458],[28.7125,-10.0489],[28.7189,-10.0503],[28.7241,-10.052],[28.7277,-10.0534],[28.7319,-10.0562],[28.7347,-10.0586],[28.7383,-10.0646],[28.7401,-10.0675],[28.7421,-10.0713],[28.7443,-10.075],[28.7469,-10.0794],[28.7487,-10.0835],[28.7507,-10.0865],[28.7579,-10.0935],[28.7735,-10.1052],[28.7805,-10.1189],[28.7895,-10.1289],[28.7947,-10.1318],[28.8069,-10.1338],[28.8157,-10.136],[28.8209,-10.1383],[28.8277,-10.1405],[28.8325,-10.1411],[28.8369,-10.1421],[28.8437,-10.1429],[28.8503,-10.1432],[28.8559,-10.1432],[28.8611,-10.1432],[28.8707,-10.1458],[28.8745,-10.1485],[28.8801,-10.144],[28.8857,-10.141],[28.8879,-10.139],[28.8903,-10.1352],[28.8923,-10.1321],[28.8945,-10.1252],[28.8959,-10.1211],[28.8975,-10.1167],[28.8995,-10.1134],[28.9051,-10.11],[28.9089,-10.1092],[28.9133,-10.1094],[28.9299,-10.1104]]]]"
1839,lu Mwense District Hospital,ShS7gmYW5yB,Mwense Dist Hosp,/Ot1P2HjvtvL/B1u1bVtIA92/na58mHU96zc/ShS7gmYW5yB,lu Mwense District Hospital,NONE,
1840,lu Mwense Rural Health Centre,JMh3OEaBRl3,Mwense RHC,/Ot1P2HjvtvL/B1u1bVtIA92/na58mHU96zc/JMh3OEaBRl3,lu Mwense Rural Health Centre,POINT,"[28.7054,-10.3837]"
1841,lu Mweshi Health Post,SLOzRXb8m6h,Mweshi HP,/Ot1P2HjvtvL/B1u1bVtIA92/na58mHU96zc/SLOzRXb8m6h,lu Mweshi Health Post,NONE,
1842,lu Nambale Rural Health Centre,JPvk3to3lLW,Nambale RHC,/Ot1P2HjvtvL/B1u1bVtIA92/idR0pJWLqcR/JPvk3to3lLW,lu Nambale Rural Health Centre,POINT,"[29.7754,-10.9033]"
1843,lu Namwandwe Health Post,jcndqfZPdku,Namwandwe HP,/Ot1P2HjvtvL/B1u1bVtIA92/RXl1ctHnd1A/jcndqfZPdku,lu Namwandwe Health Post,NONE,
1844,lu Nchelenge District,o0jgNBf8WkJ,lu Nchelenge District,/Ot1P2HjvtvL/B1u1bVtIA92/o0jgNBf8WkJ,lu Nchelenge District,POLYGON,"[[[[29.0985,-9.095],[29.1036,-9.0986],[29.1085,-9.1003],[29.1165,-9.1042],[29.1202,-9.1116],[29.1302,-9.1165],[29.1375,-9.1233],[29.1403,-9.1252],[29.145,-9.1222],[29.1493,-9.1218],[29.1541,-9.1226],[29.1574,-9.1246],[29.1584,-9.1274],[29.16,-9.1297],[29.1632,-9.1301],[29.1662,-9.1297],[29.1682,-9.1326],[29.1689,-9.1364],[29.1733,-9.1382],[29.1768,-9.1412],[29.1796,-9.1454],[29.1822,-9.1472],[29.185,-9.1482],[29.1898,-9.1502],[29.1918,-9.1511],[29.195,-9.1503],[29.1982,-9.1492],[29.2045,-9.1473],[29.2071,-9.1459],[29.2123,-9.1437],[29.2178,-9.142],[29.2311,-9.1428],[29.2347,-9.144],[29.2377,-9.1463],[29.2428,-9.1521],[29.2447,-9.1567],[29.2471,-9.1609],[29.2501,-9.1634],[29.254,-9.1662],[29.2566,-9.1685],[29.2593,-9.1736],[29.2614,-9.1799],[29.2646,-9.1847],[29.2661,-9.1879],[29.2679,-9.1912],[29.2724,-9.196],[29.2754,-9.1977],[29.2795,-9.1968],[29.2827,-9.195],[29.288,-9.1932],[29.2897,-9.1968],[29.2898,-9.2004],[29.2905,-9.2038],[29.2916,-9.2083],[29.2932,-9.2131],[29.2946,-9.2164],[29.2971,-9.2183],[29.3002,-9.2193],[29.3062,-9.2153],[29.3093,-9.211],[29.312,-9.2077],[29.3142,-9.2057],[29.3179,-9.2044],[29.3211,-9.2066],[29.324,-9.2115],[29.3248,-9.2147],[29.3248,-9.2187],[29.3239,-9.2245],[29.3241,-9.2293],[29.3261,-9.2325],[29.3283,-9.2357],[29.3306,-9.2392],[29.3285,-9.24],[29.3231,-9.2404],[29.3187,-9.2405],[29.1972,-9.2125],[29.1243,-9.3612],[28.9512,-9.324],[28.9407,-9.3402],[28.9288,-9.3524],[28.9227,-9.3587],[28.9206,-9.3613],[28.9182,-9.3639],[28.916,-9.3709],[28.9145,-9.3779],[28.9141,-9.3823],[28.9136,-9.3885],[28.9139,-9.3954],[28.9154,-9.4021],[28.9165,-9.4085],[28.9184,-9.4173],[28.9201,-9.4257],[28.9321,-9.5329],[28.9361,-9.5736],[28.9364,-9.579],[28.9407,-9.6017],[28.9415,-9.6076],[28.9419,-9.6131],[28.9429,-9.6188],[28.9431,-9.6233],[28.9401,-9.6516],[28.9397,-9.6566],[28.9394,-9.6627],[28.9388,-9.6682],[28.9371,-9.673],[28.9355,-9.677],[28.9332,-9.6822],[28.9308,-9.6873],[28.9282,-9.6932],[28.9256,-9.6975],[28.9226,-9.7039],[28.9195,-9.7102],[28.9166,-9.7163],[28.895,-9.7693],[28.8908,-9.7666],[28.8796,-9.7716],[28.8644,-9.7774],[28.8607,-9.7776],[28.8559,-9.7771],[28.8522,-9.7739],[28.8469,-9.7709],[28.8429,-9.77],[28.8382,-9.766],[28.8334,-9.7636],[28.8284,-9.7635],[28.8159,-9.7549],[28.8131,-9.7516],[28.8092,-9.7468],[28.8043,-9.7424],[28.7989,-9.7406],[28.7942,-9.7402],[28.7893,-9.7385],[28.7834,-9.7347],[28.7776,-9.7292],[28.7727,-9.7275],[28.7687,-9.7259],[28.7657,-9.7224],[28.7568,-9.7207],[28.7522,-9.7222],[28.7429,-9.7214],[28.7408,-9.7195],[28.7384,-9.7162],[28.7364,-9.7125],[28.7349,-9.7089],[28.734,-9.7057],[28.7291,-9.704],[28.7241,-9.704],[28.7203,-9.7044],[28.7175,-9.7053],[28.7101,-9.707],[28.7061,-9.7096],[28.692,-9.722],[28.6898,-9.7251],[28.6878,-9.7288],[28.685,-9.733],[28.6801,-9.7382],[28.6786,-9.7406],[28.6754,-9.7424],[28.6643,-9.7486],[28.6575,-9.7547],[28.6525,-9.7544],[28.6452,-9.7552],[28.6357,-9.7551],[28.6299,-9.7519],[28.6255,-9.7482],[28.6194,-9.7383],[28.6139,-9.7318],[28.6092,-9.7255],[28.6086,-9.722],[28.6105,-9.7173],[28.6162,-9.7107],[28.6187,-9.7064],[28.62,-9.7013],[28.6177,-9.6952],[28.6154,-9.6834],[28.6153,-9.6747],[28.6131,-9.6639],[28.6097,-9.6523],[28.6079,-9.6455],[28.6031,-9.6378],[28.5984,-9.6315],[28.5974,-9.6287],[28.5975,-9.6256],[28.5983,-9.6211],[28.6006,-9.6168],[28.6024,-9.6091],[28.6028,-9.6043],[28.6009,-9.5994],[28.5964,-9.5935],[28.5889,-9.5869],[28.5852,-9.5844],[28.5784,-9.5838],[28.5743,-9.583],[28.5726,-9.5788],[28.5776,-9.5733],[28.5833,-9.57],[28.5938,-9.5691],[28.6041,-9.5686],[28.6095,-9.5666],[28.6105,-9.5628],[28.6094,-9.5577],[28.6066,-9.5524],[28.6032,-9.5488],[28.5998,-9.549],[28.593,-9.5547],[28.5835,-9.5634],[28.5767,-9.5649],[28.5694,-9.5643],[28.5645,-9.5606],[28.5611,-9.5538],[28.5592,-9.543],[28.5595,-9.5337],[28.5608,-9.5268],[28.5617,-9.5195],[28.562,-9.514],[28.5629,-9.5066],[28.5631,-9.4993],[28.5621,-9.4941],[28.5598,-9.4896],[28.5561,-9.4859],[28.552,-9.4829],[28.5462,-9.4808],[28.5391,-9.4809],[28.5313,-9.4825],[28.5268,-9.4817],[28.5245,-9.4782],[28.5249,-9.4726],[28.5268,-9.4666],[28.5263,-9.461],[28.5246,-9.4558],[28.5218,-9.4527],[28.5186,-9.451],[28.5157,-9.4494],[28.5123,-9.4472],[28.5091,-9.4416],[28.509,-9.4378],[28.5104,-9.4338],[28.5119,-9.4302],[28.5164,-9.379],[28.5155,-9.3745],[28.5111,-9.3637],[28.5038,-9.358],[28.4835,-9.3481],[28.4793,-9.3471],[28.4736,-9.3465],[28.468,-9.3451],[28.4638,-9.3443],[28.4597,-9.3437],[28.4516,-9.341],[28.4481,-9.3395],[28.4412,-9.3365],[28.4279,-9.3306],[28.4231,-9.3284],[28.4182,-9.3265],[28.415,-9.3247],[28.4081,-9.3225],[28.3992,-9.3138],[28.3948,-9.3109],[28.3823,-9.2989],[28.3804,-9.296],[28.3784,-9.2928],[28.3775,-9.2898],[28.3764,-9.2861],[28.3762,-9.2829],[28.3748,-9.2772],[28.373,-9.2728],[28.3725,-9.2681],[28.3713,-9.2616],[28.3707,-9.2528],[28.3703,-9.2476],[28.3746,-9.2389],[28.3806,-9.2337],[28.3859,-9.2295],[28.3906,-9.2257],[28.6103,-9.0854],[28.6161,-9.0821],[28.6243,-9.0759],[28.6321,-9.0705],[28.6387,-9.0649],[28.6495,-9.0554],[28.8213,-9.0332],[28.9403,-9.0258],[28.9576,-9.0279],[28.96,-9.0445],[28.9766,-9.066],[28.9766,-9.1041],[28.9838,-9.1136],[29.01,-9.1279],[29.0243,-9.1279],[29.0433,-9.1422],[29.0552,-9.1541],[29.0648,-9.1326],[29.0743,-9.116],[29.0985,-9.095]]]]"
