area_id,map_level,map_name,map_id,map_source
ken_2_165,2,,ecl4YnDebUi,DHIS2
ken_2_166,2,,TdcYaufNV4p,DHIS2
ken_2_167,2,,x7qUMtZZvo9,DHIS2
ken_2_168,2,,Y3NjAhiBaZT,DHIS2
ken_2_169,2,,PGTkGnIAZuy,DHIS2
ken_2_170,2,,Nb6e34jNGAq,DHIS2
ken_2_171,2,,aiqi2bz0IMI,DHIS2
ken_2_172,2,,FGBNPr91pXH,DHIS2
ken_2_173,2,,oMaQgNIs85x,DHIS2
ken_2_174,2,,A4SNYCxrrnv,DHIS2
ken_2_175,2,,SBz4c48i24Y,DHIS2
ken_2_176,2,,ZCYATXdLsL1,DHIS2
ken_2_177,2,,KXc4ez8OAFz,DHIS2
ken_2_178,2,,ka9Uv3Ckcbd,DHIS2
ken_2_179,2,,ADMywdLwoRX,DHIS2
ken_2_180,2,,C1xuoa1NAMm,DHIS2
ken_2_181,2,,EW4Jw4dVWBt,DHIS2
ken_2_182,2,,lb5LzWiUX8Y,DHIS2
ken_2_183,2,,fVSw60UAC3W,DHIS2
ken_2_184,2,,KMWrMZrlO5u,DHIS2
ken_2_185,2,,Lm9RMwhIu3G,DHIS2
ken_2_186,2,,sZjPgbWI5ra,DHIS2
ken_2_187,2,,fYYivceocJ2,DHIS2
ken_2_188,2,,BxfsSc6Svrc,DHIS2
ken_2_189,2,,PLFoYJO8MVS,DHIS2
ken_2_190,2,,fmsyW02tPng,DHIS2
ken_2_191,2,,KuprsuBe1l0,DHIS2
ken_2_192,2,,FoqzDgIByL6,DHIS2
ken_2_193,2,,st4v8xfqgJf,DHIS2
ken_2_194,2,,QBwORnYdu0e,DHIS2
ken_2_195,2,,xN5aPo4ZOIt,DHIS2
ken_2_196,2,,bqtTmWcikTN,DHIS2
ken_2_197,2,,Q4xAPhWUnYC,DHIS2
ken_2_198,2,,k7Rj54u6dMx,DHIS2
ken_2_199,2,,jkQZEow83MX,DHIS2
ken_2_200,2,,ABy8CNqf2e7,DHIS2
ken_2_201,2,,vSISrsNNHwq,DHIS2
ken_2_202,2,,zI6vnsXresW,DHIS2
ken_2_203,2,,NPYRMdqrK6L,DHIS2
ken_2_204,2,,yWPcTwGwQ2B,DHIS2
ken_2_205,2,,NmbwkQ5r5cB,DHIS2
ken_2_206,2,,wt8cPHWfkfu,DHIS2
ken_2_207,2,,E7tkGikenbD,DHIS2
ken_2_208,2,,I2LYLqKU6AW,DHIS2
ken_2_209,2,,Z7ALMtFNfeZ,DHIS2
ken_2_210,2,,lkYdgjRSOoE,DHIS2
ken_2_211,2,,gSJXzH1DM75,DHIS2
ken_2_212,2,,orUwYD52An3,DHIS2
ken_2_213,2,,Lj0mu9j58Ss,DHIS2
ken_2_214,2,,UhQS2Mv0PCK,DHIS2
ken_2_215,2,,K7mZpm8COh7,DHIS2
ken_2_216,2,,ZOdhgR19Akq,DHIS2
