|---------+-------------+-------------+---------------------------------------------|
| area_id |  dhis2_id   | admin_level |                    name                     |
| ben_4_58| UjZAMDIVnTL |   admin_4   |Djegbe                                       |
| ben_4_59| Cck5fkmDORw |   admin_4   |Founougo                                     |
| ben_4_60| Yh687pbCz1b |   admin_4   |Cana II                                      |
| ben_4_61| kkmKCVAB5ie |   admin_4   |Akassato                                     |
| ben_4_62| I6dr67FzcMB |   admin_4   |Cana I                                       |
| ben_4_63| MmjfcWR0fYs |   admin_4   |Singre                                       |
| ben_4_64| AzXIcCJXtqX |   admin_4   |Towe                                         |
| ben_4_65| jELCUQ08b5C |   admin_4   |Akiza                                        |
| ben_4_66| ZICsXxOkhMd |   admin_4   |Aklampa                                      |
| ben_4_67| LVmnBLZHcb6 |   admin_4   |Tanvè                                        |
| ben_4_68| eN9GMajSHxP |   admin_4   |Pehunco (Ar)                                 |
| ben_4_69| GO8fQppZHFn |   admin_4   |Atokolibe                                    |
| ben_4_70| xLnvPujjUq5 |   admin_4   |Bagou                                        |
| ben_4_71| T9VSdPLfqOK |   admin_4   |Vekky                                        |
| ben_4_72| ze1kft8pRB1 |   admin_4   |Natitingou III                               |
| ben_4_73| c07eXL51vGK |   admin_4   |Natitingou IV                                |
| ben_4_74| JpwCXZxsrPz |   admin_4   |Possotomè                                    |
| ben_4_75| thLCQ81J5I8 |   admin_4   |Avrankou (Ar)                                |
| ben_4_76| SUt1lHgbW6c |   admin_4   |Aguidi                                       |
| ben_4_77| cNTCZ13rlAH |   admin_4   |Natta                                        |
| ben_4_78| cBNpVXKoAtw |   admin_4   |Gnidjazoun                                   |
| ben_4_79| XNOyxJFoSrP |   admin_4   |Gnemasson                                    |
| ben_4_80| E2tRpOrUmLi |   admin_4   |Nikki (Ar)                                   |
| ben_4_81| xt4mrmPPIrg |   admin_4   |Djeregbe                                     |
| ben_4_82| zuJQlkCqhbB |   admin_4   |Dodji Bata                                   |
| ben_4_83| B2iNTnmqw13 |   admin_4   |Nodi                                         |
| ben_4_84| b7Ndff7EFef |   admin_4   |Soroko                                       |
| ben_4_85| ehyOAqkDzTE |   admin_4   |Glo-Djigbé                                   |
| ben_4_86| LeiScBD6gzu |   admin_4   |Tchoumi-Tchoumi                              |
| ben_4_87| rIRH4TmaOgd |   admin_4   |Tasso                                        |
| ben_4_88| jrHyR8YhvxQ |   admin_4   |Ayomi                                        |
| ben_4_89| lAobiNpZl04 |   admin_4   |Natitingou II                                |
| ben_4_90| tb5PVcvMfmG |   admin_4   |Ague                                         |
| ben_4_91| DTK0VsHfrUm |   admin_4   |Attogon                                      |
| ben_4_92| lWCIgWak6as |   admin_4   |Tchaourou (Ar)                               |
| ben_4_93| FoFjCSpFuDw |   admin_4   |Doko                                         |
| ben_4_94| GayZChnv28G |   admin_4   |Agoue                                        |
| ben_4_95| BMUnOdWvm1U |   admin_4   |Gogounou (Ar)                                |
| ben_4_96| TivkHSwls4l |   admin_4   |Godomey                                      |
| ben_4_97| erGILMUylAc |   admin_4   |Godohou                                      |
| ben_4_98| BUeV0wrVtGe |   admin_4   |Gobe                                         |
| ben_4_99| HiPfs8fQevF |   admin_4   |Agouna                                       |
|ben_4_100| laQtDaPOqy0 |   admin_4   |Gobada                                       |
|ben_4_101| FZbPP9kAVXF |   admin_4   |Naogon                                       |
|ben_4_102| NKeIXe46iZ5 |   admin_4   |Djidja                                       |
|ben_4_103| HikoV5uttqU |   admin_4   |Gnonkourokali                                |
|ben_4_104| VrAvznX6GNb |   admin_4   |Gnizounmè                                    |
|ben_4_105| TEIQBzHltlj |   admin_4   |Gninsy                                       |
|ben_4_106| IcHqEUh30rn |   admin_4   |Natitingou I                                 |
|ben_4_107| aKUsY34Ihyk |   admin_4   |Gbéhoué                                      |
|ben_4_108| RpMYceG7g9Q |   admin_4   |Odometa                                      |
|ben_4_109| Hq6BaXvg6JQ |   admin_4   |Gbozounme                                    |
|ben_4_110| yM5M05xZKj1 |   admin_4   |Ouake (Ar)                                   |
|ben_4_111| WNNoDOeIJXt |   admin_4   |Ayou                                         |
|ben_4_112| il4wP0CltSH |   admin_4   |Ouakpè-Daho                                  |
|ben_4_113| VDgSrE9VX8I |   admin_4   |Ouanho                                       |
|ben_4_114| lMUb7ubqqez |   admin_4   |Gbecon-Hounli                                |
|ben_4_115| ghEI12BkXhQ |   admin_4   |Ouara                                        |
|ben_4_116| rXtnHyRn0JC |   admin_4   |Ouedeme                                      |
|ben_4_117| RlAMjsOqAPV |   admin_4   |Vidole                                       |
|ben_4_118| WFM0YuSwN9N |   admin_4   |Avogbanna                                    |
|ben_4_119| z4UlIZcFKd5 |   admin_4   |Gbanlin                                      |
|ben_4_120| Uvb1tvJgEWU |   admin_4   |Ouenou                                       |
|ben_4_121| zMzwMJ3b6Lk |   admin_4   |Ouenou                                       |
|ben_4_122| OpHYRs90P1v |   admin_4   |Ouesse                                       |
|ben_4_123| e0n34A2CC7Y |   admin_4   |Ouesse (Ar)                                  |
|ben_4_124| jSJ7z0w6mIw |   admin_4   |Avloh                                        |
|ben_4_125| ddBDDQrXZuR |   admin_4   |Ottola                                       |
|ben_4_126| ZE6JOsR9tk1 |   admin_4   |Oroukayo                                     |
|ben_4_127| VG19RxNwHQf |   admin_4   |Onklou                                       |
|ben_4_128| pKPtAbsf9xK |   admin_4   |Gbegourou                                    |
|ben_4_129| awXuBwr1jPB |   admin_4   |Atomey                                       |
