"area_id","dhis2_id","pepfar_id","map_level","map_name"
"NGA_3_202",,"HIRvIJ4Phtk",2,"yo Nangere"
"NGA_3_203",,"nw2xsoZj1Qf",2,"yo Nguru"
"NGA_3_204",,"wXVrXNmb0Gl",2,"yo Potiskum"
"NGA_3_205",,"mYpTNEl06Rp",2,"yo Tarmuwa"
"NGA_3_206",,"XGNY7RJSFaK",2,"yo Yunusari"
"NGA_3_207",,"xwVots58cXd",2,"yo Yusufari"
"NGA_3_208",,"XBIWanrEkbP",2,"ak Abak"
"NGA_3_209",,"ALVyRcoCEeE",2,"ak Eastern Obolo"
"NGA_3_210",,"LtNhTo6ObDy",2,"ak Eket"
"NGA_3_211",,"DbuyCcoGr3o",2,"ak Esit Eket"
"NGA_3_212",,"Z5atgpujIuB",2,"ak Essien Udim"
"NGA_3_213",,"KF4B3lAghd8",2,"ak Etim Ekpo"
"NGA_3_214",,"fpXkddgSxc2",2,"ak Etinan"
"NGA_3_215",,"KTBSBPINZ9K",2,"ak Ibeno"
"NGA_3_216",,"FJORitdoOgZ",2,"ak Ibesikpo Asutan"
"NGA_3_217",,"RFu8InHRI0P",2,"ak Ibiono Ibom"
"NGA_3_218",,"uU7VK6bHY0b",2,"ak Ika"
"NGA_3_219",,"QyiNd4lpoYO",2,"ak Ikono"
"NGA_3_220",,"KXQgiiDCxNB",2,"ak Ikot Abasi"
"NGA_3_221",,"Hav0LhcZr8l",2,"ak Ikot Ekpene"
"NGA_3_222",,"UEO4kGjgWGz",2,"ak Ini"
"NGA_3_223",,"zxPmBggJpRL",2,"ak Itu"
"NGA_3_224",,"UcOzBtlIxjs",2,"ak Mbo"
"NGA_3_225",,"U76V7Aagy0M",2,"ak Mkpat Enin"
"NGA_3_226",,"bTbhVIeXl5B",2,"ak Nsit Atai"
"NGA_3_227",,"QzoJtRtnwEK",2,"ak Nsit Ibom"
"NGA_3_228",,"uURIdxN44t7",2,"ak Nsit Ubium"
