area_id,map_level,map_name,map_id,map_source
TZA_3_107,2,Kalambo District Council,QeMjl7Ld0Vj,DHIS2
TZA_3_108,2,Nkasi District Council,iEIdCVxSJct,DHIS2
TZA_3_109,2,Sumbawanga District Council,cb9rqgLXFeh,DHIS2
TZA_3_110,2,Sumbawanga Municipal Council,cZMveFzVrXh,DHIS2
TZA_3_111,2,Buhigwe District Council,yPCs2xE66we,DHIS2
TZA_3_112,2,Kakonko District Council,T3A9X81ABG3,DHIS2
TZA_3_113,2,Kasulu District Council,zfwo4rq1XC3,DHIS2
TZA_3_114,2,Kasulu Town Council,IfQ2Sjbfdme,DHIS2
TZA_3_115,2,Kibondo District Council,duES2Gfgvpw,DHIS2
TZA_3_116,2,Kigoma District Council,lQOxGNRaklm,DHIS2
TZA_3_117,2,Kigoma Municipal Council,dIiTyLaZAEb,DHIS2
TZA_3_118,2,Uvinza District Council,dt0Q0NhyPty,DHIS2
TZA_3_119,2,Kahama Town Council,AiyppObGUqI,DHIS2
TZA_3_120,2,Kishapu District Council,kISvf8gGZMm,DHIS2
TZA_3_121,2,Msalala District Council,vQvBfxn7Cjs,DHIS2
TZA_3_122,2,Shinyanga District Council,FylvwNXCTAQ,DHIS2
TZA_3_123,2,Shinyanga Municipal Council,PF4defRibDi,DHIS2
TZA_3_124,2,Ushetu District Council,WgQHWeMx6Zl,DHIS2
TZA_3_125,2,Biharamulo District Council,yz7jPBCDXlX,DHIS2
TZA_3_126,2,Bukoba District Council,LoPF5WqswyW,DHIS2
TZA_3_127,2,Bukoba Municipal Council,PM74xoecSpJ,DHIS2
TZA_3_128,2,Karagwe District Council,YFPElmUhUok,DHIS2
TZA_3_129,2,Kyerwa District Council,LdzOZ9hNTwH,DHIS2
TZA_3_130,2,Missenyi District Council,F8NIzb16wVU,DHIS2
TZA_3_131,2,Muleba District Council,wIjscdPZF3N,DHIS2
TZA_3_132,2,Ngara District Council,XLrownkhsKI,DHIS2
TZA_3_133,2,Buchosa District Council,tq4bMQkHDbC,DHIS2
TZA_3_134,2,Ilemela Municipal Council,et6lWc8GDHy,DHIS2
TZA_3_135,2,Kwimba District Council,O8O3HQdJWHX,DHIS2
TZA_3_136,2,Magu District Council,Kug5uWxs0mu,DHIS2
TZA_3_137,2,Misungwi District Council,jAI2fd8kK1z,DHIS2
TZA_3_138,2,Nyamagana Municipal Council,f7UPzYMgzVH,DHIS2
TZA_3_139,2,Sengerema District Council,IGSrsG5I54W,DHIS2
TZA_3_140,2,Ukerewe District Council,QE0OH5162nV,DHIS2
TZA_3_141,2,Bunda District Council,ouZ5YpZ4T3a,DHIS2
TZA_3_142,2,Bunda Town Council,SoXc0vm0JrY,DHIS2
TZA_3_143,2,Butiama District Council,btLScg6XCBN,DHIS2
TZA_3_144,2,Musoma District Council,z4dfv9EOq3c,DHIS2
TZA_3_145,2,Musoma Municipal Council,bKA4yc2NUxA,DHIS2
TZA_3_146,2,Rorya District Council,bRz3nu8rSWS,DHIS2
TZA_3_147,2,Serengeti District Council,X5MzEu84hUN,DHIS2
TZA_3_148,2,Tarime District Council,NzVLQOcSJJU,DHIS2
TZA_3_149,2,Tarime Town Council,Qp6ocX9ESSa,DHIS2
TZA_3_150,2,Babati District Council,L5AfyN2zxns,DHIS2
TZA_3_151,2,Babati Town Council,cnsiTXSJqqF,DHIS2
TZA_3_152,2,Hanang District Council,xRx7W86ElUH,DHIS2
TZA_3_153,2,Kiteto District Council,P1TuGaaZ981,DHIS2
TZA_3_154,2,Mbulu District Council,C96DDKK03pu,DHIS2
TZA_3_155,2,Mbulu Town Council,k4ijpiPRc3R,DHIS2
TZA_3_156,2,Simanjiro District Council,A54bflEH57w,DHIS2
TZA_3_157,2,Ludewa District Council,aa5sxEFiAwN,DHIS2
TZA_3_158,2,Makambako Town Council,cirtJ7KuNU0,DHIS2
TZA_3_159,2,Makete District Council,NzvekEmEzUG,DHIS2
TZA_3_160,2,Njombe District Council,GOmwoDIGL98,DHIS2
TZA_3_161,2,Njombe Town Council,QUTWca9YxNb,DHIS2
TZA_3_162,2,Wanging'ombe District Council,m4ow47nd3DC,DHIS2
TZA_3_163,2,Mlele District Council,cjlkhW8VMDO,DHIS2
TZA_3_164,2,Mpanda District Council,aVLidCZ2RYk,DHIS2
TZA_3_165,2,Mpanda Municipal Council,jupsOTyKi1W,DHIS2
TZA_3_166,2,Mpimbwe District Council,NCnwqVfx8j4,DHIS2
TZA_3_167,2,Nsimbo District Council,PKl52zU7vuH,DHIS2
TZA_3_168,2,Bariadi District Council,Q16E1rzDnVD,DHIS2
TZA_3_169,2,Bariadi Town Council,Yb483pDzzWj,DHIS2
TZA_3_170,2,Busega District Council,I58Bh8dN2sO,DHIS2
TZA_3_171,2,Itilima District Council,bDteRg6tH0A,DHIS2
TZA_3_172,2,Maswa District Council,mbXn83McbCh,DHIS2
TZA_3_173,2,Meatu District Council,vJY7WRfb5Hc,DHIS2
TZA_3_174,2,Bukombe District Council,plSLZJGUHZb,DHIS2
TZA_3_175,2,Chato District Council,IZAkMaffRh8,DHIS2
TZA_3_176,2,Geita District Council,saOGTLvMX4F,DHIS2
TZA_3_177,2,Geita Town council,fSZfOuCkmAb,DHIS2
TZA_3_178,2,Mbogwe District Council,RCDM6DotMZw,DHIS2
TZA_3_179,2,Nyang'hwale District Council,G9VxK1Dmkpc,DHIS2
TZA_3_180,2,Ileje District Council,wsCWwNbLJNY,DHIS2
TZA_3_181,2,Mbozi District Council,aouUIozrc7I,DHIS2
TZA_3_182,2,Momba District Council,d07Wtk7brGz,DHIS2
TZA_3_183,2,Songwe District Council,YUUmbtHrmco,DHIS2
TZA_3_184,2,Tunduma Town Council,fqlNpTvqMw4,DHIS2
TZA_3_185,NA,NA,NA,NA
TZA_3_186,NA,NA,NA,NA
TZA_3_187,NA,NA,NA,NA
TZA_3_188,NA,NA,NA,NA
TZA_3_189,NA,NA,NA,NA
TZA_3_190,NA,NA,NA,NA
TZA_3_191,NA,NA,NA,NA
TZA_3_192,NA,NA,NA,NA
TZA_3_193,NA,NA,NA,NA
TZA_3_194,NA,NA,NA,NA
TZA_3_195,NA,NA,NA,NA
