name,id,shortName,path,displayName,featureType,coordinates
"Akim Dental Clinic",ilMem37DdOw,"Akim Dental Clinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/ilMem37DdOw","Akim Dental Clinic",POINT,"[39.28699,-6.81857]"
"Akim Maternity Home Dispensary",kmcGoGqVvAh,"Akim Maternity Home Dispensary","/m0frOspS7JY/vYT08q7Wo33/bKA4yc2NUxA/kmcGoGqVvAh","Akim Maternity Home Dispensary",NONE,
"Al - Amal Dispensary",JAhDGJlu90U,"Al - Amal Dispensary","/m0frOspS7JY/sWOWPBvwNY2/vo788oc0NEn/JAhDGJlu90U","Al - Amal Dispensary",POINT,"[35.70213,-7.77564]"
"Al Hilal  Polyclinic",CPoqvw0jHjU,"Al Hilal  Polyclinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/CPoqvw0jHjU","Al Hilal  Polyclinic",POINT,"[39.28139,-6.81897]"
"Al Karimu Dispensary",HJbXcjG8qVX,"Al Karimu Dispensary","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/HJbXcjG8qVX","Al Karimu Dispensary",POINT,"[39.237449,-6.840399]"
"Al-Ehsaa Dispensary",lLsyiuP5c9M,"Al-Ehsaa Dispensary","/m0frOspS7JY/lnOyHhoLzre/Y8sOGpb4AFE/lLsyiuP5c9M","Al-Ehsaa Dispensary",POINT,"[37.3457,-3.36883]"
"Al-Ijumaa Health Center",RgiCgEeeGjw,"Al-Ijumaa Health Center","/m0frOspS7JY/hAFRrgDK0fy/f7UPzYMgzVH/RgiCgEeeGjw","Al-Ijumaa Health Center",POINT,"[32.902825,-2.520509]"
"AL-Mansoor Dispensary",PUsJXcAam2Z,"AL-Mansoor Dispensary","/m0frOspS7JY/LGTVRhKSn1V/RHLUbsrsFoE/PUsJXcAam2Z","AL-Mansoor Dispensary",POINT,"[34.65291,-4.63479]"
"Al-Mohlem Dispensary",Y0ddKcXLriQ,"Al-Mohlem Dispensary","/m0frOspS7JY/vU0Qt1A5IDz/ySuyuvNNFp8/Y0ddKcXLriQ","Al-Mohlem Dispensary",POINT,"[39.116825,-5.083031]"
"AL-Tabibu  Level IA2 (Dispensary Laboratory)",j7473GonjVC,"AL-Tabibu  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/bN5q5k5DgLA/PHGm198Hcil/j7473GonjVC","AL-Tabibu  Level IA2 (Dispensary Laboratory)",NONE,
"Alailelai Dispensary",AWPUlobVPqi,"Alailelai Dispensary","/m0frOspS7JY/YtVMnut7Foe/PHWaJvzTmL8/AWPUlobVPqi","Alailelai Dispensary",POINT,"[35.698378,-2.956721]"
"Alamano Dispensary",xhOLtMOrd0d,"Alamano Dispensary","/m0frOspS7JY/sWOWPBvwNY2/vo788oc0NEn/xhOLtMOrd0d","Alamano Dispensary",POINT,"[35.70111,-7.77281]"
"Alara  Specialized Polyclinic",Lx0mhgs7dKO,"Alara  Specialized Polyclinic","/m0frOspS7JY/acZHYslyJLt/HIOQoi1aeL8/Lx0mhgs7dKO","Alara  Specialized Polyclinic",POINT,"[39.23563,-6.91848]"
"Albans Dispensary",H84gH01K3jV,"Albans Dispensary","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/H84gH01K3jV","Albans Dispensary",NONE,
"ALEP  Level IA2 (Dispensary Laboratory)",jdwzCi41UzI,"ALEP  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/lnOyHhoLzre/VMTJLxcFH9o/jdwzCi41UzI","ALEP  Level IA2 (Dispensary Laboratory)",POINT,"[37.36253,-3.40753]"
"Alexia Health Center",Pug1VztU4cE,"Alexia Health Center","/m0frOspS7JY/acZHYslyJLt/HIOQoi1aeL8/Pug1VztU4cE","Alexia Health Center",POINT,"[39.308997,-6.94335]"
"Alexia Medical  Specialized clinic",sWNoxIPxAlT,"Alexia Medical  Specialized clinic","/m0frOspS7JY/acZHYslyJLt/HIOQoi1aeL8/sWNoxIPxAlT","Alexia Medical  Specialized clinic",POINT,"[39.30706,-6.91139]"
"Alfa   Specialized clinic",ezr13Ez7bzq,"Alfa   Specialized clinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/ezr13Ez7bzq","Alfa   Specialized clinic",NONE,
"Alfa  Level IA2 (Dispensary Laboratory)",KQzVgJskHm7,"Alfa  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/ZYYX8Q9SGoV/XL0luikY9oG/KQzVgJskHm7","Alfa  Level IA2 (Dispensary Laboratory)",NONE,
"Alfa-Prolife  Dispensary",UObRvVsFDiu,"Alfa-Prolife  Dispensary","/m0frOspS7JY/Sj50oz9EHvD/nUFAmN93pH4/UObRvVsFDiu","Alfa-Prolife  Dispensary",POINT,"[37.676988,-6.796398]"
"Alinda  Level IA2 (Dispensary Laboratory)",rntdGwJ49WL,"Alinda  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/Crkg9BoUo5w/PM74xoecSpJ/rntdGwJ49WL","Alinda  Level IA2 (Dispensary Laboratory)",POINT,"[31.793918,-1.32175]"
"Alira  Dental Clinic",PUmVi5GoRjE,"Alira  Dental Clinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/PUmVi5GoRjE","Alira  Dental Clinic",POINT,"[39.28655,-6.8092]"
"Aljamih Dispensary",VmUYbv2NDg5,"Aljamih Dispensary","/m0frOspS7JY/Sj50oz9EHvD/nUFAmN93pH4/VmUYbv2NDg5","Aljamih Dispensary",POINT,"[37.66922,-6.80408]"
"Aljumaa  Dental Clinic",INceCwHWUHQ,"Aljumaa  Dental Clinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/INceCwHWUHQ","Aljumaa  Dental Clinic",POINT,"[39.27576,-6.81801]"
"AlJumaa chartable Dispensary",tghnIgYFJsT,"AlJumaa chartable Dispensary","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/tghnIgYFJsT","AlJumaa chartable Dispensary",POINT,"[39.275753,-6.818188]"
"Alkaria Dispensary",JgmsiMyQuI8,"Alkaria Dispensary","/m0frOspS7JY/YtVMnut7Foe/D21VsjNL2LB/JgmsiMyQuI8","Alkaria Dispensary",POINT,"[36.30118,-3.32432]"
"All smile  Dental Clinic",HW1N9TZL2Da,"All smile  Dental Clinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/HW1N9TZL2Da","All smile  Dental Clinic",NONE,
"All Smile Dental  Dental Clinic",oY6VzZdGrck,"All Smile Dental  Dental Clinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/oY6VzZdGrck","All Smile Dental  Dental Clinic",NONE,"[39.284615,-6.816679]"
"Alliance One Dispensary",ph6VbubFQp2,"Alliance One Dispensary","/m0frOspS7JY/Sj50oz9EHvD/G2obPNftMUt/ph6VbubFQp2","Alliance One Dispensary",POINT,"[37.76137,-6.77842]"
"Almahadi Dispensary",DhwyV24AWBj,"Almahadi Dispensary","/m0frOspS7JY/yyW17iCz9As/Tp2jluoQwvA/DhwyV24AWBj","Almahadi Dispensary",POINT,"[38.9385,-7.72273]"
"Alpha  Level IA2 (Dispensary Laboratory)",kEEMlS9H9EN,"Alpha  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/MAL4cfZoFhJ/fSZfOuCkmAb/kEEMlS9H9EN","Alpha  Level IA2 (Dispensary Laboratory)",POINT,"[32.26384,-2.87762]"
"Alpha Dispensary",gIMLWRKTBvL,"Alpha Dispensary","/m0frOspS7JY/sWOWPBvwNY2/xBWOfftpkLT/gIMLWRKTBvL","Alpha Dispensary",POINT,"[36.50618,-7.46623]"
"Alpha Family Healthcare  Other Clinic",nutjS6FsjMc,"Alpha Family Healthcare  Other Clinic","/m0frOspS7JY/acZHYslyJLt/ts6eEeUjcfO/nutjS6FsjMc","Alpha Family Healthcare  Other Clinic",NONE,
"ALPHA Maternity Home",ddybqZjloc4,"ALPHA Maternity Home","/m0frOspS7JY/vYT08q7Wo33/NzVLQOcSJJU/ddybqZjloc4","ALPHA Maternity Home",POINT,"[34.4751,-1.25212]"
"Alsheikh Dispensary",Zv8JyWahhh6,"Alsheikh Dispensary","/m0frOspS7JY/sWOWPBvwNY2/xBWOfftpkLT/Zv8JyWahhh6","Alsheikh Dispensary",POINT,"[36.51212,-7.46679]"
"Alshifaa Medical Kidney Clinic",cu7UluMvyRL,"Alshifaa Medical Kidney Clinic","/m0frOspS7JY/acZHYslyJLt/ts6eEeUjcfO/cu7UluMvyRL","Alshifaa Medical Kidney Clinic",POINT,"[39.250331,-6.761681]"
"Amana  Regional Referral Hospital",GRDYT0QagNn,"Amana  Regional Referral Hospital","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/GRDYT0QagNn","Amana  Regional Referral Hospital",POINT,"[39.25926,-6.82674]"
"Amana Eye Centre  Optometry Clinic",xINareHbUoy,"Amana Eye Centre  Optometry Clinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/xINareHbUoy","Amana Eye Centre  Optometry Clinic",POINT,"[39.25867,-6.82798]"
"Amanda  Level IA2 (Dispensary Laboratory)",IMGN74IVUCy,"Amanda  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/ZYYX8Q9SGoV/KEsG36c8lDx/IMGN74IVUCy","Amanda  Level IA2 (Dispensary Laboratory)",NONE,
"Amanda  Level IA2 (Dispensary Laboratory)",sS7tRpztBtp,"Amanda  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/qarQhOt2OEh/QUTWca9YxNb/sS7tRpztBtp","Amanda  Level IA2 (Dispensary Laboratory)",NONE,
"Amani ",jIWlc0CokF4,"Amani ","/m0frOspS7JY/ZYYX8Q9SGoV/r9NgS2Jsu9I/jIWlc0CokF4","Amani ",POINT,"[37.45284,-11.21349]"
"Amani  Level IA2 (Dispensary Laboratory)",q6bqqh4O3Mh,"Amani  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/Sj50oz9EHvD/Le7ysFRJrMk/q6bqqh4O3Mh","Amani  Level IA2 (Dispensary Laboratory)",POINT,"[36.6693,-8.3859]"
"Amani  Level IA2 (Dispensary Laboratory)",iCh1RFtquHy,"Amani  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/IgTAEKMqKRe/Yb483pDzzWj/iCh1RFtquHy","Amani  Level IA2 (Dispensary Laboratory)",NONE,
"Amani  Level IA2 (Dispensary Laboratory)",VXxqfxJ1hZL,"Amani  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/ZYYX8Q9SGoV/VdIZ0pAYfBK/VXxqfxJ1hZL","Amani  Level IA2 (Dispensary Laboratory)",NONE,
"Amani Chogo Clinic",pv1TmXfYHrf,"Amani Chogo Clinic","/m0frOspS7JY/hAFRrgDK0fy/f7UPzYMgzVH/pv1TmXfYHrf","Amani Chogo Clinic",POINT,"[32.90191,-2.51685]"
"Amani Dispensary",vQDPz4eQ8sj,"Amani Dispensary","/m0frOspS7JY/bN5q5k5DgLA/gOcZSwBmijY/vQDPz4eQ8sj","Amani Dispensary",POINT,"[39.6334,-10.76348]"
"Amani Dispensary",f387OoH1aQP,"Amani Dispensary","/m0frOspS7JY/vU0Qt1A5IDz/DkxlFk8MuM7/f387OoH1aQP","Amani Dispensary",POINT,"[38.23912,-5.71533]"
"Amani Dispensary",PsAseRxROa7,"Amani Dispensary","/m0frOspS7JY/vU0Qt1A5IDz/H2LvCkw2bCO/PsAseRxROa7","Amani Dispensary",POINT,"[38.63348,-5.10012]"
"Amani Dispensary",mbozIKKOJfe,"Amani Dispensary","/m0frOspS7JY/qarQhOt2OEh/aa5sxEFiAwN/mbozIKKOJfe","Amani Dispensary",POINT,"[34.89538,-9.94648]"
"Amani Dispensary",eJIOkk7dlZT,"Amani Dispensary","/m0frOspS7JY/ZYYX8Q9SGoV/XL0luikY9oG/eJIOkk7dlZT","Amani Dispensary",POINT,"[36.65333,-11.47111]"
"Amani Dispensary",EFLzVqcGSQ3,"Amani Dispensary","/m0frOspS7JY/A3b5mw8DJYC/dPzNEI2Cxqj/EFLzVqcGSQ3","Amani Dispensary",NONE,
"Amani GE  Level IA2 (Dispensary Laboratory)",Z6zJp5EzTlC,"Amani GE  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/YtVMnut7Foe/lgZ6HfZaj3f/Z6zJp5EzTlC","Amani GE  Level IA2 (Dispensary Laboratory)",POINT,"[36.68539,-3.368256]"
"Amani Handeni Dispensary",YZo8WXErI6Q,"Amani Handeni Dispensary","/m0frOspS7JY/vU0Qt1A5IDz/HeESSqNok0X/YZo8WXErI6Q","Amani Handeni Dispensary",POINT,"[38.02162,-5.42361]"
"Amani Health Center",fozeRRoqJEG,"Amani Health Center","/m0frOspS7JY/Cpd5l15XxwA/OzGGHqXQn5p/fozeRRoqJEG","Amani Health Center",POINT,"[35.760658,-6.160399]"
"Amani Kiluvya  Dispensary",aTfhhXpMSWF,"Amani Kiluvya  Dispensary","/m0frOspS7JY/yyW17iCz9As/Srvx9L1LGZM/aTfhhXpMSWF","Amani Kiluvya  Dispensary",POINT,"[39.28335,-6.95651]"
"Amani Kiluvya Dispensary",SIppAF6zki5,"Amani Kiluvya Dispensary","/m0frOspS7JY/yyW17iCz9As/SnczTnCrk6d/SIppAF6zki5","Amani Kiluvya Dispensary",POINT,"[39.02161,-6.80012]"
"Amani makolo Dispensary",jfcR4cyefID,"Amani makolo Dispensary","/m0frOspS7JY/ZYYX8Q9SGoV/WB7EAwS3F8N/jfcR4cyefID","Amani makolo Dispensary",POINT,"[35.135415,-10.674759]"
"Amani Maternity and Nursing Home",HgEWroEpWHe,"Amani Maternity and Nursing Home","/m0frOspS7JY/qg5ySBw9X5l/cnsiTXSJqqF/HgEWroEpWHe","Amani Maternity and Nursing Home",POINT,"[35.75193,-4.20857]"
"Amani Medics Dispensary",zFarvRAqzlP,"Amani Medics Dispensary","/m0frOspS7JY/Cpd5l15XxwA/OzGGHqXQn5p/zFarvRAqzlP","Amani Medics Dispensary",POINT,"[35.73833,-6.15357]"
"Amani Seif Memorial Dispensary",rqhah50hKr2,"Amani Seif Memorial Dispensary","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/rqhah50hKr2","Amani Seif Memorial Dispensary",NONE,
"Amani Terat Dispensary",FmNQfhxJVBP,"Amani Terat Dispensary","/m0frOspS7JY/qg5ySBw9X5l/A54bflEH57w/FmNQfhxJVBP","Amani Terat Dispensary",POINT,"[36.59731,-3.88263]"
"Amani- NIMR Dispensary",cwcQsdV07Y3,"Amani- NIMR Dispensary","/m0frOspS7JY/vU0Qt1A5IDz/H2LvCkw2bCO/cwcQsdV07Y3","Amani- NIMR Dispensary",POINT,"[38.6332,-5.09886]"
"Amani-Igoma Dispensary",sFPJ2PHYL0Z,"Amani-Igoma Dispensary","/m0frOspS7JY/hAFRrgDK0fy/f7UPzYMgzVH/sFPJ2PHYL0Z","Amani-Igoma Dispensary",POINT,"[32.979226,-2.547683]"
"Ambangulu Dispensary",hNcJHVqlNdZ,"Ambangulu Dispensary","/m0frOspS7JY/vU0Qt1A5IDz/QBC1po2JaJW/hNcJHVqlNdZ","Ambangulu Dispensary",POINT,"[38.42567,-5.07077]"
"Amboni Dispensary",AHsioNYykHC,"Amboni Dispensary","/m0frOspS7JY/vU0Qt1A5IDz/ySuyuvNNFp8/AHsioNYykHC","Amboni Dispensary",POINT,"[39.05074,-5.04776]"
"Ambreni Dispensary",ljqLrNWoLHy,"Ambreni Dispensary","/m0frOspS7JY/YtVMnut7Foe/uafqZbOYpVL/ljqLrNWoLHy","Ambreni Dispensary",POINT,"[36.75618,-3.36819]"
"AMEC  Dispensary",fmRKcKQpwgn,"AMEC  Dispensary","/m0frOspS7JY/DWSo42hunXH/jupsOTyKi1W/fmRKcKQpwgn","AMEC  Dispensary",POINT,"[31.070345,-6.337284]"
"AMEC Dispensary",cPZ5GS0N1D8,"AMEC Dispensary","/m0frOspS7JY/kZ6RlMnt2bp/mOqc3ajETpA/cPZ5GS0N1D8","AMEC Dispensary",POINT,"[32.6768,-5.48138]"
"Ameki Dispensary",ukSa9UOtk2A,"Ameki Dispensary","/m0frOspS7JY/A3b5mw8DJYC/dWfRpHKykpk/ukSa9UOtk2A","Ameki Dispensary",POINT,"[33.85842,-9.60517]"
"Amen Dispensary",Lyk5ij2BHI9,"Amen Dispensary","/m0frOspS7JY/Crkg9BoUo5w/XLrownkhsKI/Lyk5ij2BHI9","Amen Dispensary",POINT,"[30.6538,-2.51155]"
"Amen Health Labs",lG6P8NdfJJF,"Amen Health Labs","/m0frOspS7JY/qg5ySBw9X5l/cnsiTXSJqqF/lG6P8NdfJJF","Amen Health Labs",NONE,
"Ameni Dispensary",Amgk1lw8G2T,"Ameni Dispensary","/m0frOspS7JY/acZHYslyJLt/DvHoBaCDtec/Amgk1lw8G2T","Ameni Dispensary",POINT,"[39.22297,-6.78339]"
"Ameni Dispensary",Hl8c6xd8rxC,"Ameni Dispensary","/m0frOspS7JY/A3b5mw8DJYC/dWfRpHKykpk/Hl8c6xd8rxC","Ameni Dispensary",POINT,"[33.86665,-9.59996]"
"Amenye  Dispensary",bB4gkwmkXlf,"Amenye  Dispensary","/m0frOspS7JY/A3b5mw8DJYC/e3ATlebHNrD/bB4gkwmkXlf","Amenye  Dispensary",POINT,"[33.45772,-8.92578]"
"Amenye  Level IA2 (Dispensary Laboratory)",ILgQcA1pocp,"Amenye  Level IA2 (Dispensary Laboratory)","/m0frOspS7JY/A3b5mw8DJYC/e3ATlebHNrD/ILgQcA1pocp","Amenye  Level IA2 (Dispensary Laboratory)",POINT,"[33.45772,-8.92578]"
"AMII Hospital",S9cdrG2rNZv,"AMII Hospital","/m0frOspS7JY/acZHYslyJLt/ts6eEeUjcfO/S9cdrG2rNZv","AMII Hospital",NONE,
"Amina Dispensary",rTwc4OIUOtU,"Amina Dispensary","/m0frOspS7JY/vU0Qt1A5IDz/ySuyuvNNFp8/rTwc4OIUOtU","Amina Dispensary",NONE,
