name,id,shortName,path,displayName,geometry
"mv Jichidza Mission Clinic",VJ0Qw6b1JSY,"Jichidza Mission Clinic","/uLFWBf4qXuv/nVljIjXbw6R/ffwxgte6q3p/VJ0Qw6b1JSY","mv Jichidza Mission Clinic","POINT (31.2224 -20.2698)"
"mv Lundi Clinic",mxsDtZixLZC,"Lundi Clinic","/uLFWBf4qXuv/nVljIjXbw6R/rP0Hu6NiXZm/mxsDtZixLZC","mv Lundi Clinic","POINT (30.7817 -20.8975)"
"mv Machiva Clinic",vi3jgKDczTD,"mv Machiva Clinic","/uLFWBf4qXuv/nVljIjXbw6R/ffwxgte6q3p/vi3jgKDczTD","mv Machiva Clinic",
"mv Madamombe Clinic",dr94rzbEjNI,"Madamombe Clinic","/uLFWBf4qXuv/nVljIjXbw6R/pZZScktxk78/dr94rzbEjNI","mv Madamombe Clinic",
"mv Madhloro Clinic",g0Ai6GvQkQE,"Madhloro Clinic","/uLFWBf4qXuv/nVljIjXbw6R/ffwxgte6q3p/g0Ai6GvQkQE","mv Madhloro Clinic",
"mv Madzivadondo Clinic",rVJWSV6Rw4o,"mv Madzivadondo Clinic","/uLFWBf4qXuv/nVljIjXbw6R/pZZScktxk78/rVJWSV6Rw4o","mv Madzivadondo Clinic",
"mv Mageza Clinic",EnUWwQqs6vP,"Mageza Clinic","/uLFWBf4qXuv/nVljIjXbw6R/ffwxgte6q3p/EnUWwQqs6vP","mv Mageza Clinic",
"mv Magombedze Chitsa Clinic",CK9XQFNrRzR,"Magombedze Chitsa Clinic","/uLFWBf4qXuv/nVljIjXbw6R/adRrJtX9vjF/CK9XQFNrRzR","mv Magombedze Chitsa Clinic",
"mv Magombedze Clinic",N79CQMH43tT,"Magombedze Clinic","/uLFWBf4qXuv/nVljIjXbw6R/adRrJtX9vjF/N79CQMH43tT","mv Magombedze Clinic","POINT (31.3502 -19.758)"
"mv Majada Rural Health Centre",nMBIqdJIM7h,"Majada Rural Health Centre","/uLFWBf4qXuv/nVljIjXbw6R/adRrJtX9vjF/nMBIqdJIM7h","mv Majada Rural Health Centre",
"mv Makambe Clinic",Kj83rFr3Q4P,"Makambe Clinic","/uLFWBf4qXuv/nVljIjXbw6R/whpubIpYSTb/Kj83rFr3Q4P","mv Makambe Clinic","POINT (31.3401 -21.4536)"
"mv Malipati Rural Health Centre",Tjo7lWewbhC,"Malipati Rural Health Centre","/uLFWBf4qXuv/nVljIjXbw6R/whpubIpYSTb/Tjo7lWewbhC","mv Malipati Rural Health Centre","POINT (31.4202 -22.0714)"
"mv Mandamabwe Rural Health Centre",kFndlxCVNkl,"Mandamabwe Rural Health Centre","/uLFWBf4qXuv/nVljIjXbw6R/pZZScktxk78/kFndlxCVNkl","mv Mandamabwe Rural Health Centre",
"mv Mandara Clinic",yoSv5OSOTSt,"Mandara Clinic","/uLFWBf4qXuv/nVljIjXbw6R/msJbRmjmVWY/yoSv5OSOTSt","mv Mandara Clinic",
"mv Mandhloro Clinic",KPkANbubddY,"Mandhloro Clinic","/uLFWBf4qXuv/nVljIjXbw6R/ffwxgte6q3p/KPkANbubddY","mv Mandhloro Clinic",
"mv Mapanzure Clinic",TY6QX9xvr5f,"Mapanzure Clinic","/uLFWBf4qXuv/nVljIjXbw6R/O5dih53Gqoc/TY6QX9xvr5f","mv Mapanzure Clinic",
"mv Maranda Clinic",CoBuECjxZyS,"Maranda Clinic","/uLFWBf4qXuv/nVljIjXbw6R/rP0Hu6NiXZm/CoBuECjxZyS","mv Maranda Clinic","POINT (30.3158 -21.1458)"
